Local Authority,Code,GB cover percent,% homes with good access to nature,KtCO2e,NO2ug/m3 mean 2013,Income,2011 Affordability,Unemployment Rate,All visitors (£ millions),Tourists Ratio,life expectancy avg,Persons aged 0 to 4,Persons aged 5 to 14,Persons aged 15 to 24,Persons aged 25 to 44,Persons aged 45 to 64,Persons aged 65 to 89,Persons aged 90 and over,Persons who are white,Persons who have mixed ethnicity or are from multiple ethnic groups,Persons who are Asian/Asian British: Indian,Persons who are Asian/Asian British: Pakistani,Persons who are Asian/Asian British: Bangladeshi,Persons who are Asian/Asian British: Chinese and Other,Persons who are Black/African/Caribbean/Black British,Persons who are Arab or from other ethnic groups,marriedpercentage,high edu percentage,Grade
Hillingdon,E09000017,57.85599194116029,84.45454545454545,2366.563002,29.33508771929825,34810.0,8.13,8.1,712.0,0.09253834487144989,64.121325,19704.0,33792.0,40967.0,82076.0,62219.0,33522.0,1656.0,166031.0,10479.0,36795.0,9200.0,2639.0,20619.0,20082.0,8091.0,0.4745741627235156,0.2803776210244053,496.1
Hounslow,E09000018,50.46249136814339,77.25,1414.216555,35.39777777777778,33420.0,8.55,7.7,370.0,0.06928628177966102,62.733275000000006,19725.0,28844.0,33289.0,90984.0,54256.0,25794.0,1065.0,130505.0,10349.0,48161.0,13676.0,2189.0,23231.0,16813.0,9033.0,0.45977255661384026,0.3455864917203494,483.9
Islington,E09000019,35.141760208378464,67.5625,982.7932374,43.3051948051948,37220.0,11.18,9.8,431.0,0.10283735628319775,57.908995000000004,12289.0,18701.0,31253.0,87177.0,38669.0,17348.0,688.0,140515.0,13339.0,3534.0,951.0,4662.0,9887.0,26294.0,6943.0,0.2561800346220427,0.480530871321408,467.8
Kensington and Chelsea,E09000020,32.67477868733602,90.44444444444444,1266.753612,46.4711111111111,51720.0,16.48,7.3,1868.0,0.2841100704955001,67.09860499999999,9189.0,14056.0,17797.0,61779.0,36713.0,18187.0,928.0,112017.0,8986.0,2577.0,911.0,836.0,11537.0,10333.0,11452.0,0.36323891946643627,0.526793627622573,584.3
Kingston upon Thames,E09000021,53.47912192823669,67.875,670.5178635999999,32.927272727272744,41240.0,8.6,6.3,335.0,0.10867128387845791,65.19924,10964.0,17507.0,23369.0,51278.0,36584.0,19152.0,1206.0,119219.0,6269.0,6325.0,3009.0,892.0,15926.0,4021.0,4399.0,0.46234686801756686,0.41437707065259266,496.4
Lambeth,E09000022,34.53608596443543,63.333333333333336,1139.925459,41.28018867924526,35990.0,8.95,10.2,733.0,0.10193680296020831,62.65623,20701.0,31130.0,40760.0,130426.0,56882.0,22278.0,909.0,173025.0,23160.0,4983.0,3072.0,2221.0,10662.0,78542.0,7421.0,0.2701449859041482,0.46620217478856224,488.7
Lewisham,E09000023,41.05373746184992,86.16666666666667,848.155095,36.52871287128713,33420.0,8.08,10.6,229.0,0.10217226876586806,61.31349,22004.0,31933.0,37010.0,101260.0,57543.0,24925.0,1210.0,147686.0,20472.0,4600.0,1596.0,1388.0,17950.0,74942.0,7251.0,0.3326232348490736,0.3800108800497374,417.2
Merton,E09000024,49.62937649576842,86.45,791.5395336,34.44594594594593,39260.0,8.93,7.3,328.0,0.08524168042766381,63.94676,14830.0,21881.0,22861.0,73540.0,43459.0,21950.0,1172.0,129606.0,9334.0,8106.0,7337.0,2216.0,18484.0,20811.0,3799.0,0.45205172842576474,0.4109114648097488,475.5
Newham,E09000025,40.10389797279082,60.6,1374.951027,36.65701754385965,26380.0,8.12,15.2,380.0,0.11336133995307981,57.626374999999996,25384.0,40421.0,52997.0,117039.0,51550.0,19824.0,769.0,89216.0,13945.0,42484.0,30307.0,37262.0,23842.0,60256.0,10672.0,0.4074887647528246,0.30144483178629927,450.5
Redbridge,E09000026,54.976660054599535,82.0,910.0433955,32.33333333333333,34590.0,7.76,9.8,256.0,0.0666607782768889,64.437395,21666.0,37503.0,36831.0,88045.0,61540.0,31595.0,1790.0,118646.0,11456.0,45660.0,31051.0,16011.0,23781.0,24845.0,7520.0,0.5046226030946916,0.339171355593396,481.5
Richmond upon Thames,E09000027,67.23181879647161,88.77777777777777,834.7252789,33.81084337349398,49800.0,10.21,5.1,469.0,0.11228294387318412,70.35132999999999,14038.0,20934.0,18230.0,61942.0,46550.0,23760.0,1536.0,160725.0,6780.0,5202.0,1163.0,867.0,6375.0,2816.0,3062.0,0.47758776957321464,0.5303761362727588,469.5
Southwark,E09000028,41.89396120030326,70.42857142857143,1318.2632310000001,41.87822580645162,34500.0,9.69,10.6,779.0,0.09003821402993345,61.407395,20739.0,29659.0,42962.0,116247.0,56347.0,21394.0,935.0,156349.0,17778.0,5819.0,1623.0,3912.0,15838.0,77511.0,9453.0,0.29440487694816114,0.4307005930157811,487.6
Sutton,E09000029,50.94107075434165,70.5,699.5032464,31.391780821917813,37230.0,8.0,6.8,183.0,0.09445521997475448,65.10257,12750.0,22768.0,22144.0,57638.0,47613.0,25870.0,1363.0,149449.0,7134.0,6454.0,2595.0,1183.0,11803.0,9120.0,2408.0,0.47905466685944875,0.3008386019795213,533.4
Tower Hamlets,E09000030,37.13381644112672,64.94117647058823,1789.54759,42.91507936507936,32340.0,8.87,13.0,818.0,0.0795861585032515,54.863330000000005,18750.0,28733.0,45441.0,110402.0,35200.0,15036.0,534.0,114819.0,10360.0,6787.0,2442.0,81377.0,13895.0,18629.0,5787.0,0.32202026937578754,0.4102660907169789,474.3
Waltham Forest,E09000031,50.59386321103144,57.7,827.5501508,33.77802197802197,30870.0,8.51,10.9,199.0,0.058945166734009936,60.33089,20839.0,31223.0,35845.0,92031.0,52745.0,24309.0,1257.0,134799.0,13766.0,9134.0,26347.0,4632.0,14276.0,44791.0,10504.0,0.40374438170441734,0.29987544983286646,434.7
Wandsworth,E09000032,42.20553297632,90.55,1072.7977759999999,38.35123966942148,44330.0,10.64,7.1,420.0,0.11925141325986342,62.664785,21670.0,27095.0,36102.0,141020.0,54197.0,25573.0,1338.0,219216.0,15241.0,8642.0,9718.0,1493.0,13485.0,32756.0,6444.0,0.3317642554953533,0.5357339573184785,486.7
Westminster,E09000033,35.60871186257935,73.15,2854.747754,49.31313131313132,44530.0,14.59,7.5,6068.0,0.24390622595657316,65.994365,12617.0,18391.0,27487.0,91612.0,44775.0,23456.0,1058.0,135330.0,11395.0,7213.0,2328.0,6299.0,16022.0,16472.0,24337.0,0.33425047641479133,0.5028906065991479,488.5
